,daylabel,year,month,day,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
0,1.0,2011.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9.84,14.395,81.0,0.0,16.0
1,1.0,2011.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,40.0
2,1.0,2011.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,32.0
3,1.0,2011.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,13.0
4,1.0,2011.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,1.0
5,1.0,2011.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,9.84,12.88,75.0,6.0032,1.0
6,1.0,2011.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,2.0
7,1.0,2011.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,8.2,12.88,86.0,0.0,3.0
8,1.0,2011.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,8.0
9,1.0,2011.0,1.0,1.0,9.0,1.0,0.0,0.0,1.0,13.12,17.425,76.0,0.0,14.0
10,1.0,2011.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,15.58,19.695,76.0,16.9979,36.0
11,1.0,2011.0,1.0,1.0,11.0,1.0,0.0,0.0,1.0,14.76,16.665,81.0,19.0012,56.0
12,1.0,2011.0,1.0,1.0,12.0,1.0,0.0,0.0,1.0,17.22,21.21,77.0,19.0012,84.0
13,1.0,2011.0,1.0,1.0,13.0,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.9995,94.0
14,1.0,2011.0,1.0,1.0,14.0,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.0012,106.0
15,1.0,2011.0,1.0,1.0,15.0,1.0,0.0,0.0,2.0,18.04,21.97,77.0,19.9995,110.0
16,1.0,2011.0,1.0,1.0,16.0,1.0,0.0,0.0,2.0,17.22,21.21,82.0,19.9995,93.0
17,1.0,2011.0,1.0,1.0,17.0,1.0,0.0,0.0,2.0,18.04,21.97,82.0,19.0012,67.0
18,1.0,2011.0,1.0,1.0,18.0,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,35.0
19,1.0,2011.0,1.0,1.0,19.0,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,37.0
20,1.0,2011.0,1.0,1.0,20.0,1.0,0.0,0.0,2.0,16.4,20.455,87.0,16.9979,36.0
21,1.0,2011.0,1.0,1.0,21.0,1.0,0.0,0.0,2.0,16.4,20.455,87.0,12.998,34.0
22,1.0,2011.0,1.0,1.0,22.0,1.0,0.0,0.0,2.0,16.4,20.455,94.0,15.0013,28.0
